sku,name,description,price,sale_price,category,badge,image,stock,brand,usage_info
1111,D&G -Light blue 100ml,,105,,perfume,,,6,,
1112,D&G - ليل ساطع 100مل,,105,,perfume,,,5,,
1113,D&G the one 100ml,,105,,perfume,,,2,,
1114,TUXEDO 100ml,,105,,perfume,,,6,,
1115,Victoria Lotion 75ml,,80,,perfume,,,11,,
1116,Very Sexy 100ml,,135,,perfume,,,11,,
1117,طقم سبلاش 2قطعة - Orchida,,210,,perfume,,,6,,
1118,NN Spray 150ml,,85,,perfume,,,50,,
1119,GUCCI - Flora,,135,,perfume,,,11,,
1121,PRADA 100ml,,135,,perfume,,,3,,
1122,Genteman 100ml,,125,,perfume,,,6,,
1123,STRONGER WITH YOU 100ml,,135,,perfume,,,6,,
1124,Tomford-Black orchid 100ml,,130,,perfume,,,6,,
1125,Tom ford-Vanille Fatale 100ml,,130,,perfume,,,5,,
1126,VALENTINO Donna 100ml,,125,,perfume,,,12,,
1127,فكتوريا جوهرة 100مل,,135,,perfume,,,9,,
1128,Silver cape 100ml,,35,,perfume,,,78,,
1129,ليالي الحلمية - Spray,,40,,perfume,,,36,,
1130,Prechious -Spray 100ml,,75,,perfume,,,19,,
1131,Barbie -Splash 120ml,,60,,perfume,,,42,,
1132,Body Splash 125ml,,52,,perfume,,,7,,
1133,LAVERNE 30ml,,69,,perfume,,,55,,
1134,PRADA - 30ml,,70,,perfume,,,56,,
1135,Victoria Splash 88ml,,38,,perfume,,,36,,
1136,مسك الطهارة -العقيق 88مل,,38,,perfume,,,4,,
1137,Fulah 50ml,,70,,perfume,,,72,,
1138,Smart Boy - 50ml,,70,,perfume,,,41,,
1139,The Boody shop 236ml,,69,,perfume,,,150,,
1140,V.V.Love-Splash 250ml,,86.25,,perfume,,,33,,
1141,Fogg spray 120ml,,125,,perfume,,,67,,
1142,XL Spray 150ml,,125,,perfume,,,100,,
1143,خشب العود 2*1 200مل,,750,,perfume,,,5,,
1145,خمرة سبلاش - دبي 200مل,,86,,perfume,,,18,,
1146,Alien 100ml,,115,,perfume,,,6,,
1147,بكرات روج 100مل,,130,,makeup,,,1,,
1148,Pen-Parfum 35ml,,45,,perfume,,,67,,
1149,ELIE SAAB 90ml,,139,,perfume,,,5,,
1150,Dunhill Dezier 100ml,,125,,perfume,,,6,,
1151,Carolina - Good girl 80ml,,145,,perfume,,,6,,
1152,Cartier 100ml,,125,,perfume,,,6,,
1153,Khadlaj-لك وحدك 100مل,,135,,perfume,,,6,,
1154,TF-Costa Azzurra 100ml,,130,,perfume,,,6,,
1155,Narciso rodriguez 90ml,,130,,perfume,,,0,,
1156,XERJOFF 100ml,,140,,perfume,,,18,,
1157,Black Lexces 100ml,,130,,perfume,,,5,,
1158,Si - fiori 100ml,,132,,perfume,,,3,,
1159,Si-Intense 100ml,,132,,perfume,,,4,,
1160,Si-Passione 100ml,,132,,perfume,,,1,,
1161,Rexona-Roll on 20ml,,38,,perfume,,,132,,
1162,Fulah-Summer 15ml,,75,,perfume,,,88,,
1163,Passion ml100,,125,,perfume,,,6,,
1164,Camara Opera 95ml,,650,,perfume,,,2,,
1165,مسك ابراق 3قطع,,450,,perfume,,,9,,
1166,مرسيدس بينز 100مل,,126,,perfume,,,1,,
1167,حمراء 100مل,,550,,perfume,,,2,,
1168,Mancera Paris 100ml,,130,,perfume,,,5,,
1169,GUCCI-OUD 90ml,,130,,perfume,,,4,,
1170,Tranquille 100ml,,125,,perfume,,,6,,
1171,Camara Fashion 100ml,,650,,perfume,,,3,,
1172,COCO Mademoiselle 100ml,,120,,perfume,,,3,,
1173,IDOLE 4*1,,525,,perfume,,,4,,
1174,اظافر شريط كات اي برنت,,25,,perfume,,,41,,
1175,اظافر هارد جيل جليتر,,36,,perfume,,,23,,
1176,Body Splash 250ml,,75,,perfume,,,198,,
1177,Armani Code 110ml,,130,,perfume,,,2,,
1178,Sol De Janeiro 90ml,,56,,perfume,,,94,,
1179,Yaqoot - Show 100ml,,168,,perfume,,,3,,
1180,COCO Mademoiselle - Elzhraa 100ml,,125,,perfume,,,1,,
